Sigla,Resolução ANEEL,Início Vigência,Fim Vigência,Base Tarifária,Subgrupo,Modalidade,Classe,Subclasse,Detalhe,Acessante,Posto,Unidade,TUSD,TE
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B1,Branca,Residencial,Residencial,Não se aplica,Não se aplica,Intermediário,R$/MWh,"629,87","322,05"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B1,Branca,Residencial,Residencial,Não se aplica,Não se aplica,Intermediário,R$/MWh,"641,08","370,62"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B1,Branca,Residencial,Residencial,SCEE,Não se aplica,Intermediário,R$/MWh,"629,87","47,08"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B1,Branca,Residencial,Residencial,SCEE,Não se aplica,Intermediário,R$/MWh,"641,08","96,01"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B1,Branca,Residencial,Residencial,Não se aplica,Não se aplica,Ponta,R$/MWh,"885,22","520,04"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B1,Branca,Residencial,Residencial,Não se aplica,Não se aplica,Ponta,R$/MWh,"909,07","568,34"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B1,Branca,Residencial,Residencial,SCEE,Não se aplica,Ponta,R$/MWh,"885,22","47,08"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B1,Branca,Residencial,Residencial,SCEE,Não se aplica,Ponta,R$/MWh,"909,07","96,01"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B1,Convencional,Residencial,Baixa Renda,Não se aplica,Não se aplica,Não se aplica,R$/MWh,"399,78","334,45"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B1,Convencional,Residencial,Baixa Renda,Não se aplica,Não se aplica,Não se aplica,R$/MWh,"407,54",383
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B1,Convencional,Residencial,Baixa Renda,SCEE,Não se aplica,Não se aplica,R$/MWh,"399,78","42,97"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B1,Convencional,Residencial,Baixa Renda,SCEE,Não se aplica,Não se aplica,R$/MWh,"407,54","91,91"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B1,Convencional,Residencial,Residencial,Não se aplica,Não se aplica,Não se aplica,R$/MWh,"466,97","338,55"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B1,Convencional,Residencial,Residencial,Não se aplica,Não se aplica,Não se aplica,R$/MWh,"470,12","387,1"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B1,Convencional,Residencial,Residencial,SCEE,Não se aplica,Não se aplica,R$/MWh,"466,97","47,08"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B1,Convencional,Residencial,Residencial,SCEE,Não se aplica,Não se aplica,R$/MWh,"470,12","96,01"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B1,Convencional pré-pagamento,Residencial,Baixa Renda,Não se aplica,Não se aplica,Não se aplica,R$/MWh,"399,78","334,45"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B1,Convencional pré-pagamento,Residencial,Baixa Renda,Não se aplica,Não se aplica,Não se aplica,R$/MWh,"407,54",383
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B1,Convencional pré-pagamento,Residencial,Baixa Renda,SCEE,Não se aplica,Não se aplica,R$/MWh,"399,78","42,97"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B1,Convencional pré-pagamento,Residencial,Baixa Renda,SCEE,Não se aplica,Não se aplica,R$/MWh,"407,54","91,91"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B1,Convencional pré-pagamento,Residencial,Residencial,Não se aplica,Não se aplica,Não se aplica,R$/MWh,"466,97","338,55"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B1,Convencional pré-pagamento,Residencial,Residencial,Não se aplica,Não se aplica,Não se aplica,R$/MWh,"470,12","387,1"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B1,Convencional pré-pagamento,Residencial,Residencial,SCEE,Não se aplica,Não se aplica,R$/MWh,"466,97","47,08"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B1,Convencional pré-pagamento,Residencial,Residencial,SCEE,Não se aplica,Não se aplica,R$/MWh,"470,12","96,01"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B2,Branca,Rural,Cooperativa de eletrificação rural,Não se aplica,Não se aplica,Fora ponta,R$/MWh,"383,32","322,05"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B2,Branca,Rural,Cooperativa de eletrificação rural,Não se aplica,Não se aplica,Fora ponta,R$/MWh,"382,34","370,62"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B2,Branca,Rural,Cooperativa de eletrificação rural,SCEE,Não se aplica,Fora ponta,R$/MWh,"383,32","47,08"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B2,Branca,Rural,Cooperativa de eletrificação rural,SCEE,Não se aplica,Fora ponta,R$/MWh,"382,34","96,01"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B2,Branca,Rural,Cooperativa de eletrificação rural,Não se aplica,Não se aplica,Intermediário,R$/MWh,"656,29","322,05"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B2,Branca,Rural,Cooperativa de eletrificação rural,Não se aplica,Não se aplica,Intermediário,R$/MWh,"668,8","370,62"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B2,Branca,Rural,Cooperativa de eletrificação rural,SCEE,Não se aplica,Intermediário,R$/MWh,"656,29","47,08"
